,ville_raw,quartier_raw,price_raw,room_nb_raw,bedroom_nb_raw,surface_raw
2214,Paris 15ème,Saint Lambert,525000,2,1,39.0
2216,Paris 8ème,Hoche-Friedland,3500000,7,4,206.0
2217,Paris 7ème,Ecole Militaire,1850000,5,3,120.0
2218,Paris 8ème,Parc Monceau,2420000,6,3,195.0
2219,Paris 13ème,Buttes Aux Cailles-Glacière,1550000,6,4,166.0
2220,Paris 6ème,Notre Dame des Champs,750000,2,1,62.0
2221,Paris 8ème,Mairie,480000,2,1,28.0
2223,Paris 10ème,Faubourg du Temple-Hôpital Saint Louis,590000,2,1,55.0
2224,Paris 12ème,Bel-Air Nord,800000,5,3,93.65
2226,Paris 15ème,Vaugirard-Parc des Expositions,385000,2,1,37.0
2227,Paris 19ème,Flandre-Aubervilliers,180000,2,1,21.0
2228,Paris 16ème,Auteuil Nord,1395000,5,3,112.0
2229,Paris 10ème,Chateau d'Eau-Lancry,1530000,4,2,135.0
2230,Paris 16ème,Auteuil Sud,790000,3,1,62.0
2231,Paris 17ème,Courcelles-Wagram,1099000,4,2,83.88
2232,Paris 16ème,Muette Nord,1900000,6,4,168.0
2233,Paris 4ème,Saint Gervais,667000,2,1,45.0
2234,Paris 16ème,Chaillot,3500000,5,3,210.0
2235,Paris 11ème,Belleville-Saint Maur,979000,4,3,92.0
2236,Paris 7ème,Gros Caillou,2970000,6,4,239.0
2237,Paris 18ème,Grandes Carrières-Clichy,915000,4,3,91.0
2238,Paris 18ème,Amiraux-Simplon-Poissonniers,2070000,5,4,110.0
2239,Paris 19ème,Danube-Porte des Lilas,953000,6,4,124.0
2240,Paris 13ème,Buttes Aux Cailles-Glacière,850000,3,2,84.11
2241,Paris 6ème,Saint Placide,2055000,5,3,136.0
2243,Paris 6ème,Rennes,2580000,4,3,115.0
2244,Paris 16ème,Porte Dauphine,1648000,6,3,120.0
2245,Paris 19ème,Buttes Chaumont,765000,4,2,76.0
2246,Paris 17ème,Ternes-Maillot,645000,2,1,59.0
2247,Paris 14ème,Mouton Duvernet,690000,3,2,44.1
2248,Paris 16ème,Auteuil Sud,845000,4,2,72.16
2249,Paris 8ème,Parc Monceau,3750000,7,3,193.79
2250,Paris 3ème,Sainte Avoie,1499000,4,2,109.0
2251,Paris 8ème,Triangle d'Or,1890000,2,1,63.16
2252,Paris 7ème,Saint Thomas d'Aquin,2912000,5,3,127.0
2253,Paris 16ème,Chaillot,7350000,8,2,320.55
2254,Paris 19ème,Buttes Chaumont,1595000,6,5,163.52
2255,Paris 6ème,Odéon,1560000,3,2,80.0
2256,Paris 16ème,Chaillot,6250000,8,4,309.0
2257,Paris 7ème,Saint Thomas d'Aquin,4600000,4,2,175.0
2258,Paris 6ème,Saint Germain des Prés,1550000,3,2,90.45
2259,Paris 3ème,Archives,660000,2,1,37.0
2260,Paris 12ème,Bel-Air Sud,995000,4,3,101.0
2261,Paris 12ème,Vallée de Fécamp,525000,6,4,104.0
2262,Paris 7ème,Ecole Militaire,3150000,7,4,203.05
2263,Paris 15ème,Dupleix-Motte Picquet,1850000,4,3,110.01
2264,Paris 20ème,Gambetta,1395000,6,5,157.93
2265,Paris 14ème,Jean Moulin-Porte d'Orléans,2750000,13,6,315.0
2266,Paris 4ème,Arsenal,4250000,7,4,250.0
2267,Paris 10ème,Porte Saint Denis-Paradis,1848000,5,2,192.0
2268,Paris 16ème,Porte Dauphine,3710000,6,4,252.03
2269,,,1672000,3,2,86.92
2270,Paris 14ème,Mouton Duvernet,2250000,4,3,107.45
2271,Paris 9ème,Trudaine-Maubeuge,1419000,4,2,106.0
2272,Paris 18ème,Grandes Carrières-Clichy,915000,4,3,91.0
2273,Paris 6ème,Saint Placide,2055000,5,3,136.0
2275,Paris 6ème,Rennes,2580000,4,3,115.0
2276,Paris 16ème,Porte Dauphine,1648000,6,3,120.0
2277,Paris 7ème,Saint Thomas d'Aquin,1665000,4,3,99.1
2278,Paris 20ème,Gambetta,910000,4,3,82.43
2279,Paris 8ème,Saint Philippe du Roule,2860000,5,2,146.0
2281,Paris 16ème,Chaillot,890000,3,1,53.59
2282,Paris 8ème,Parc Monceau,3750000,7,3,193.79
2283,Paris 8ème,Elysées-Madeleine,1500000,3,1,91.0
2284,Paris 16ème,Porte Dauphine,6250000,5,3,260.0
2285,Paris 16ème,Muette Nord,4200000,7,5,274.0
2286,Paris 16ème,Chaillot,6250000,8,4,309.0
2287,Paris 7ème,Saint Thomas d'Aquin,4600000,4,2,175.0
2288,Paris 7ème,Invalides,365000,2,1,25.0
2289,Paris 12ème,Bel-Air Sud,995000,4,3,101.0
2290,Paris 12ème,Vallée de Fécamp,525000,6,4,104.0
2291,Paris 7ème,Ecole Militaire,3150000,7,4,203.05
2292,Paris 17ème,Legendre-Lévis,1045000,3,2,75.0
2293,Paris 15ème,Dupleix-Motte Picquet,1850000,4,3,110.01
2294,Paris 20ème,Gambetta,1395000,6,5,157.93
2295,Paris 16ème,Porte Dauphine,6500000,7,4,390.0
2296,Paris 4ème,Arsenal,4250000,7,4,250.0
2297,Paris 18ème,Goutte d'Or-Château Rouge,620000,3,2,69.0
2298,Paris 10ème,Porte Saint Denis-Paradis,1848000,5,2,192.0
2299,Paris 16ème,Porte Dauphine,3710000,6,4,252.03
2300,,,1672000,3,2,86.92
2301,Paris 14ème,Mouton Duvernet,2250000,4,3,107.45
2302,Paris 9ème,Trudaine-Maubeuge,1419000,4,2,106.0
2303,Paris 8ème,Triangle d'Or,6000000,4,2,123.0
2304,Paris 8ème,Triangle d'Or,2190000,4,2,112.0
2305,Paris 13ème,Olympiades-Choisy,495000,3,2,69.0
2306,Paris 16ème,Porte Dauphine,1020000,3,2,85.0
2307,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,560000,2,1,39.0
2308,Paris 17ème,Pereire-Malesherbes,330000,2,1,48.0
2309,Paris 3ème,Archives,1908000,5,3,140.0
2310,Paris 11ème,Léon-Blum Folie-Regnault,488000,2,1,35.0
2311,Paris 5ème,Saint Victor,790000,2,1,54.0
2312,Paris 18ème,La Chapelle-Marx Dormoy,350000,2,1,39.0
2313,Paris 10ème,Faubourg du Temple-Hôpital Saint Louis,660000,3,1,68.0
2314,Paris 16ème,Chaillot,1185000,4,2,93.0
2315,Paris 13ème,Dunois-Bibliothèque-Jeanne-d'Arc,874000,4,3,76.0
2316,Paris 1er,Saint Germain l'Auxerrois,879000,3,2,58.0
2317,Paris 16ème,Auteuil Nord,425000,2,1,38.64
2318,Paris 18ème,Clignancourt-Jules Joffrin,1850000,5,4,127.0
2319,Paris 14ème,Montsouris Dareau,999000,3,2,89.0
2320,,,4750000,6,4,250.0
2321,Paris 6ème,Odéon,540000,2,1,27.12
2322,Paris 4ème,Île Saint Louis,2730000,4,2,125.0
2323,Paris 15ème,Violet Commerce,1598212,4,3,91.0
2324,Paris 12ème,Jardin de Reuilly,860000,4,2,81.66
2325,Paris 16ème,Porte Dauphine,2850000,7,4,226.0
2326,Paris 11ème,République-Saint Ambroise,427000,2,1,34.33
2327,Paris 4ème,Saint Gervais,1150000,3,1,57.25
2328,Paris 20ème,Père Lachaise-Réunion,735000,3,2,69.05
2329,Paris 18ème,Montmartre,320000,2,1,29.02
2330,Paris 18ème,Montmartre,600000,2,1,49.04
